ID,Question,Answer,Answer Audio Path
6746acb5-495c-4769-b05c-a488c8fbc8ef,آپ کا نام کیا ہے؟,میرا نام اے آئی اسسٹنٹ ہے، میں آپ کی مدد کے لیے حاضر ہوں۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_049ce069.mp3
17a9a7f5-bf73-478d-af2b-2abd930a2637,آپ کیا کر سکتی ہیں؟,میں معلومات فراہم کر سکتی ہوں، سوالات کے جواب دے سکتی ہوں، اور آپ کی رہنمائی کر سکتی ہوں۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_eb3645d7.mp3
2ae71428-7309-4a7b-8663-4922a8c1a622,دنیا کا سب سے بڑا دریا کون سا ہے؟,دنیا کا سب سے بڑا دریا ایمیزون ہے۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_d4a8f443.mp3
3bca94fe-8d69-49f3-9d72-ef646004cf7a,سب سے اونچا پہاڑ کون سا ہے؟,دنیا کا سب سے اونچا پہاڑ ماؤنٹ ایورسٹ ہے۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_71bd3cc8.mp3
a194ebd9-5dc3-4c0e-b7cc-17c67c8ad517,دنیا کا سب سے بڑا جانور کون سا ہے؟,نیلا وہیل دنیا کا سب سے بڑا جانور ہے۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_0e508527.mp3
3a4b7d1f-b09d-4d3b-b3d0-76a5cc2a4806,پانی پینے کے کیا فائدے ہیں؟,پانی پینا صحت کے لیے ضروری ہے، یہ جسم کو ہائیڈریٹ رکھتا ہے اور توانائی بخشتا ہے۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_3b93e122.mp3
940e6012-1f9b-48f3-a219-df90f9398d13,Vista.one کیا ہے؟,Vista.one ایک جدید ٹیکنالوجی کمپنی ہے جو ڈیجیٹل سلوشنز اور سمارٹ بزنس سافٹ ویئر تیار کرتی ہے۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_aee2c874.mp3
96dd1444-ae38-4626-9429-fa8aa3d26d98,Vista.one کس قسم کی سروسز فراہم کرتی ہے؟,Vista.one ویب ڈویلپمنٹ، ایپلیکیشن ڈیزائن، کلاؤڈ سلوشنز، اور AI پر مبنی بزنس ٹولز فراہم کرتی ہے۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_cdca164b.mp3
feff6c27-9149-48dd-8d61-54e1f958c3ea,Vista.one کا مقصد کیا ہے؟,Vista.one کا مقصد کاروباروں کو ڈیجیٹل طور پر مضبوط بنانا اور جدید ٹیکنالوجی کے ذریعے مسائل کا حل فراہم کرنا ہے۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_f7152a45.mp3
6eb3d90e-3207-43e8-a817-2db1896ab105,کیا Vista.one میں انٹرنشپ کا موقع ملتا ہے؟,جی ہاں، Vista.one میں طلباء اور نوجوان پروفیشنلز کے لیے انٹرنشپ پروگرامز بھی ہوتے ہیں۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_fab235ce.mp3
b8be916b-47ea-4bc7-b6c4-83ecdab3256b,Vista.one کے کلائنٹس کس شعبے سے تعلق رکھتے ہیں؟,Vista.one کے کلائنٹس میں تعلیمی ادارے، ہیلتھ کیئر، ای کامرس، اور فنانشل سروسز شامل ہیں۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_0d30dfd3.mp3
4944813e-35c7-4325-8626-b905738dd082,آپ کی سروس بار بار بند ہو جاتی ہے، مسئلہ کیا ہے؟,ہمیں آپ کی پریشانی کا احساس ہے۔ ہم اس وقت اس مسئلے پر کام کر رہے ہیں اور جلد حل پیش کریں گے۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_a97c077a.mp3
83f18dd9-b5c0-429b-b5d3-c6e59f801037,آپ کی ہیلپ لائن پر کوئی جواب نہیں دے رہا؟,معذرت چاہتے ہیں، اس وقت کالز کی تعداد زیادہ ہے، آپ چاہیں تو چیٹ یا ای میل کے ذریعے بھی رابطہ کر سکتے ہیں۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_acc645b2.mp3
c7fb6ce3-4015-4bd3-9a9a-d14d7116af40,میری شکایت کو سنجیدگی سے کیوں نہیں لیا جا رہا؟,ہم آپ کی شکایت کو بہت سنجیدگی سے لیتے ہیں۔ آپ کی بات نوٹ کر لی گئی ہے اور ہماری سینئر ٹیم اس پر کام کر رہی ہے۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_5caba14e.mp3
ff7b1732-22c7-48d5-b892-4bcb4f5b00ee,یہ غیر ذمہ داری ہے,ہمیں اس پر افسوس ہے، ہم فوری طور پر متعلقہ ٹیم سے رابطہ کریں گے اور آپ کو اپڈیٹ کریں گے۔,C:\Users\Administrator\Desktop\Django\Ai call Assistant\assistant\assist\tts_audio\tts_e69a085c.mp3
